,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
735,Vladimir,br BRA,GK,Avaí,32,1989,22.5,668,403,262,48,0,2,0,0,0,0,0,0,551,3,0,Matches,bbae502c
736,Max Walef,br BRA,GK,Fortaleza,28,1993,5.0,98,72,26,7,0,0,0,0,0,0,0,0,75,0,0,Matches,6411a48d
737,Walter,br BRA,GK,Cuiabá,34,1987,27.4,730,444,285,57,0,2,0,0,0,0,0,0,537,1,0,Matches,8bae322b
738,Wanderson,br BRA,DF,Atl Goianiense,30,1991,27.2,1112,1086,25,21,0,9,0,4,0,0,0,0,969,1,6,Matches,f612025c
739,Wanderson,br BRA,FWMF,Internacional,27,1994,17.8,555,530,23,2,4,1,59,11,8,4,0,0,436,2,19,Matches,5da33b33
740,Warley,br BRA,FWMF,Coritiba,22,1999,6.2,217,198,19,3,0,0,17,16,0,0,0,0,156,0,12,Matches,8f385e2e
741,Welington,br BRA,DFFW,São Paulo,20,2001,18.6,1095,847,242,22,0,6,125,184,36,0,34,0,826,6,30,Matches,a7f95b1f
742,José Welison,br BRA,MF,Fortaleza,26,1995,19.1,886,853,30,19,0,20,22,9,2,1,0,0,728,3,19,Matches,b6cb4d16
743,Weliton,cl CHI,MF,Juventude,16,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,721322fb
744,Wellington,br BRA,DF,Avaí,26,1995,3.0,131,127,4,4,0,0,0,0,0,0,0,0,108,0,1,Matches,ed36f825
745,Welliton,br BRA,MFFW,Bragantino,21,2000,1.1,51,48,3,0,0,1,8,2,1,0,1,0,38,0,1,Matches,d1a7e953
746,Wendell,br BRA,MF,Ceará,19,2002,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches,82b7e058
747,Werik,br BRA,FW,Bragantino,20,2001,5.7,91,70,20,0,0,0,2,0,0,0,0,0,75,1,2,Matches,8b20ba5f
748,Werton,br BRA,FW,Flamengo,18,2003,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches,d07bde9d
749,Wescley,br BRA,MF,Ceará,30,1991,0.8,23,22,1,0,0,0,3,1,0,0,0,0,20,0,0,Matches,5a43c680
750,Wesley,br BRA,FW,Palmeiras,22,1999,7.2,218,193,21,1,0,0,30,15,5,1,3,0,143,4,12,Matches,434de3a3
751,Weverson,br BRA,MF,Bragantino,21,2000,0.5,11,8,3,1,0,0,3,0,2,2,0,0,7,0,0,Matches,b9829bf7
752,Weverton,br BRA,DF,Internacional,22,1999,0.5,35,28,7,1,0,0,3,5,1,0,1,0,28,0,1,Matches,6ae59cc2
753,Wéverton,br BRA,GK,Palmeiras,34,1987,34.0,1059,760,293,59,0,4,0,0,0,0,0,0,803,6,0,Matches,81be82e9
754,Rafael William,br BRA,GK,Coritiba,20,2001,6.0,126,72,53,5,0,0,0,0,0,0,0,0,89,1,0,Matches,eb9f6c10
755,Willian,br BRA,FWMF,Fluminense,35,1986,5.3,173,159,13,2,1,0,8,4,5,3,2,0,141,1,4,Matches,1f85d0c8
756,Willian,br BRA,FW,Corinthians,33,1988,9.2,390,365,24,8,2,5,33,3,13,7,5,0,299,1,8,Matches,8b9ebd03
757,Xavier,br BRA,MF,Corinthians,21,2000,1.8,73,71,2,2,0,0,0,0,0,0,0,0,62,0,2,Matches,f16ed217
758,Samuel Xavier,br BRA,DF,Fluminense,31,1990,31.4,1948,1617,323,43,6,3,77,273,7,1,5,0,1642,8,41,Matches,0c870df5
759,Yago,br BRA,MFDF,Fluminense,26,1995,12.6,604,546,56,11,3,4,36,32,11,3,5,0,469,2,17,Matches,e2add0e7
760,Ytalo,br BRA,FW,Bragantino,34,1988,6.9,101,89,12,0,0,0,2,1,0,0,0,0,89,0,1,Matches,423e3d0b
761,Marcos Ytalo,br BRA,DF,Ceará,25,1996,1.8,58,47,11,1,0,0,5,10,0,0,0,0,45,0,1,Matches,70053afc
762,Vinícius Zanocelo,br BRA,MF,Santos,21,2001,22.3,914,897,17,11,0,13,2,4,0,0,0,0,767,0,19,Matches,27457e83
763,Federico Zaracho,ar ARG,MFFW,Atlético Mineiro,23,1998,20.9,934,902,26,11,6,3,16,13,1,0,0,0,774,6,21,Matches,803d5265
